Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRfIAAU,Map-132,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8110,HCC10,2014,,C8110HCC102014
a0x3h000000vRfJAAU,Map-133,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8111,HCC10,2014,,C8111HCC102014
a0x3h000000vRfKAAU,Map-134,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8112,HCC10,2014,,C8112HCC102014
a0x3h000000vRfLAAU,Map-135,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8113,HCC10,2014,,C8113HCC102014
a0x3h000000vRfMAAU,Map-136,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8114,HCC10,2014,,C8114HCC102014
a0x3h000000vRfNAAU,Map-137,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8115,HCC10,2014,,C8115HCC102014
a0x3h000000vRfOAAU,Map-138,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8116,HCC10,2014,,C8116HCC102014
a0x3h000000vRfPAAU,Map-139,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8117,HCC10,2014,,C8117HCC102014
a0x3h000000vRfQAAU,Map-140,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8118,HCC10,2014,,C8118HCC102014
a0x3h000000vRfRAAU,Map-141,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8119,HCC10,2014,,C8119HCC102014
a0x3h000000vRfSAAU,Map-142,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8120,HCC10,2014,,C8120HCC102014
a0x3h000000vRfTAAU,Map-143,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8121,HCC10,2014,,C8121HCC102014
a0x3h000000vRfUAAU,Map-144,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8122,HCC10,2014,,C8122HCC102014
a0x3h000000vRfVAAU,Map-145,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8123,HCC10,2014,,C8123HCC102014
a0x3h000000vRfWAAU,Map-146,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8124,HCC10,2014,,C8124HCC102014
a0x3h000000vRfXAAU,Map-147,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8125,HCC10,2014,,C8125HCC102014
a0x3h000000vRfYAAU,Map-148,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8126,HCC10,2014,,C8126HCC102014
a0x3h000000vRfZAAU,Map-149,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8127,HCC10,2014,,C8127HCC102014
a0x3h000000vRfaAAE,Map-150,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8128,HCC10,2014,,C8128HCC102014
a0x3h000000vRfbAAE,Map-151,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8129,HCC10,2014,,C8129HCC102014
a0x3h000000vRfcAAE,Map-152,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8130,HCC10,2014,,C8130HCC102014
a0x3h000000vRfdAAE,Map-153,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8131,HCC10,2014,,C8131HCC102014
a0x3h000000vRfeAAE,Map-154,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8132,HCC10,2014,,C8132HCC102014
a0x3h000000vRffAAE,Map-155,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8133,HCC10,2014,,C8133HCC102014
